 property_id,tile_url,latitude,longitude,min_price,max_price,beds_range, prop_display_name,phone_number,bustop_within_100,inside_campus,fitness_within_200m,fitness_within_500m,fitness_within_1000m,market_within_200m,market_within_500m,market_within_1000m,within_unvCen_1km,within_unvCen_2km,within_unvCen_3km
190,'https://d2cc5bro5bu049.cloudfront.net/162/7000/tile.jpeg',43.064400,-89.416603,1495,, '3 BR',1818 Madison St,6082518777,no,no,no,no,no,yes,yes,yes,no,yes,yes
281,'https://d2cc5bro5bu049.cloudfront.net/162/3066896/tile.jpeg',43.070702,-89.385300,1675,, '4 BR',309 W Doty St,6082518777,yes,no,no,yes,yes,no,no,yes,no,no,no
422,'https://d2cc5bro5bu049.cloudfront.net/162/7206/tile.jpeg',43.068298,-89.391098,575,2095, '1 - 5 BR',548 W Main St,6082518777,no,no,no,yes,yes,no,no,yes,no,no,yes
317,'https://d2cc5bro5bu049.cloudfront.net/162/3063298/tile.jpeg',43.073299,-89.419502,745,, '1 BR',401 Chamberlain Ave,6082518777,no,no,no,yes,yes,no,no,yes,yes,yes,yes
408,'https://d2cc5bro5bu049.cloudfront.net/162/12655360/tile.jpg',43.074902,-89.394096,595,1065, 'Studio - 2 BR',522 State St,6082518777,yes,no,no,yes,yes,no,yes,yes,no,no,yes
286,'https://d2cc5bro5bu049.cloudfront.net/162/1956536/tile.jpg',43.073799,-89.392304,795,, 'Studio',314 N Broom St,6082518777,yes,no,no,yes,yes,no,yes,yes,no,no,yes
769,'https://d2cc5bro5bu049.cloudfront.net/162/7469/tile.jpeg',43.068901,-89.389603,1695,, '4 BR',507 W Main St,6082518777,yes,no,yes,yes,yes,no,yes,yes,no,no,yes
751,'https://d2cc5bro5bu049.cloudfront.net/162/3092412/tile.jpeg',43.074699,-89.393799,1275,, '2 BR',503 State St,6082518777,yes,no,no,yes,yes,no,yes,yes,no,no,yes
741,'https://d2cc5bro5bu049.cloudfront.net/162/7441/tile.jpeg',43.068901,-89.391602,1495,, '3 BR',541 W Washington Ave,6082518777,yes,no,no,yes,yes,no,yes,yes,no,no,yes
755,'https://d2cc5bro5bu049.cloudfront.net/162/11639117/tile.jpg',43.067699,-89.410301,945,, '1 BR',1423 Regent St,6082518777,no,no,no,no,yes,no,no,yes,no,yes,yes
764,'https://d2cc5bro5bu049.cloudfront.net/162/7464/tile.jpeg',43.079498,-89.381500,1050,, '2 BR',129 N Franklin St,6082518777,no,no,no,yes,yes,no,no,yes,no,no,no
742,'https://d2cc5bro5bu049.cloudfront.net/162/7442/tile.jpeg',43.069199,-89.391197,1495,, '3 BR',527 W Washington Ave,6082518777,yes,no,no,yes,yes,no,yes,yes,no,no,yes
748,'https://d2cc5bro5bu049.cloudfront.net/162/16833993/tile.jpeg',43.072701,-89.421700,1210,1295, '2 BR',2104 University Ave,6082518777,yes,no,no,yes,yes,no,no,yes,no,yes,yes
590,'https://d2cc5bro5bu049.cloudfront.net/162/3077080/tile.jpeg',43.078098,-89.387100,1225,, '3 BR',21 E Gorham St,6082518777,yes,no,no,yes,yes,no,no,yes,no,no,yes
