Longitude,Latitude,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,Route,primary_street,address_range,cross_location
-89.38152626,43.05256435,6507,522,522,E Olin & Expo (WB),This stop (#0522) is westbound on the 200 block of Olin Ave (e) farside Expo Pkwy,43.052562,-89.381527,13,E Olin,200,Expo
-89.39926026,43.05191534,6508,530,530,Fish Hatchery & Appleton (SB),This stop (#0530) is southbound on the 1336 block of Fish Hatchery Rd nearside Appleton Rd,43.051913,-89.399261,"4, 47",Fish Hatchery,1336,Appleton
-89.4125482,43.07525633,6509,532,532,Linden & Babcock (WB),This stop (#0532) is westbound on the 1598 block of Linden Dr nearside Babcock Dr,43.075254,-89.412549,"11, 28, 38, 44, 80, 84",Linden,1598,Babcock
-89.41345022,43.06772733,6510,533,533,Regent & N Breese (EB),This stop (#0533) is eastbound on the 1599 block of Regent St farside Breese Ter (n),43.067725,-89.413451,"6, 7",Regent,1599,N Breese
-89.39995227,43.05048233,6511,536,536,Fish Hatchery & Wingra (SB),This stop (#0536) is southbound on the 1398 block of Fish Hatchery Rd nearside Wingra Dr (n),43.05048,-89.399953,"4, 47",Fish Hatchery,1398,Wingra
-89.4008452,43.07270334,6512,538,538,N Park & University (SB),This stop (#0538) is southbound on the 398 block of Park St (n) farside University Ave,43.072701,-89.400846,"6, 7, 47, 82",N Park,398,University
-89.4140542,43.07313433,6513,542,542,N Breese & University (SB),This stop (#0542) is southbound on the 398 block of Breese Ter (n) farside University Ave,43.073132,-89.414055,"3, 29, 58",N Breese,398,University
-89.38626822,43.06923536,6514,544,544,S Broom & W Wilson (SB),This stop (#0544) is southbound on the 298 block of Broom St (s) nearside Wilson St (w),43.069233,-89.386269,"11, 12",S Broom,298,W Wilson
-89.40119322,43.06739434,6515,546,546,S Park & Regent (SB),This stop (#0546) is southbound on the 2 block of Park St (s) farside Regent St,43.067392,-89.401194,"13, 47",S Park,2,Regent
-89.40442722,43.06782434,6516,548,548,Regent & N Mills (WB),This stop (#0548) is westbound on the 1100 block of Regent St farside Mills St (n),43.067822,-89.404428,"6, 7, 82",Regent,1100,N Mills
-89.3920552,43.07470735,6517,549,549,State & W Gorham (EB),This stop (#0549) is eastbound on the 401 block of State St nearside Gorham St (w),43.074705,-89.392056,"4, 6, 29",State,401,W Gorham
-89.39379821,43.06970235,6518,558,558,N Bedford & W Mifflin (SB),This stop (#0558) is southbound on the 100 block of Bedford St (n) nearside Mifflin St (w),43.0697,-89.393799,82,N Bedford,100,W Mifflin
-89.40063621,43.07082334,6519,561,561,N Park & W Dayton (NB),This stop (#0561) is northbound on the 199 block of Park St (n) nearside Dayton St (w),43.070821,-89.400637,"6, 7, 13, 47, 48",N Park,199,W Dayton
-89.38419421,43.07069436,6520,564,564,W Wilson & S Hamilton (WB),This stop (#0564) is westbound on the 298 block of Wilson St (w) nearside Hamilton St (s),43.070692,-89.384195,"1, 11, 12, 19, 38",W Wilson,298,S Hamilton
-89.38406229,43.04133835,6521,565,565,N Rusk & Nygard (NB),This stop (#0565) is northbound on the 2199 block of Rusk Ave (n) farside Nygard St,43.041336,-89.384063,13,N Rusk,2199,Nygard
-89.3881902,43.07587836,6522,567,567,W Johnson & N Carroll (EB),This stop (#0567) is eastbound on the 101 block of Johnson St (w) nearside Carroll St (n),43.075876,-89.388191,"10, 27, 28",W Johnson,101,N Carroll
-89.3961912,43.07331135,6523,568,568,University & N Frances (WB),This stop (#0568) is westbound on the 600 block of University Ave farside Frances St (n),43.073309,-89.396192,"1, 2, 3, 7, 8, 10, 11, 12, 13, 14, 15, 19, 27, 28, 37, 38, 47, 56, 57, 58, 70, 71, 72",University,600,N Frances
-89.39094226,43.05205634,6524,570,570,Gilson & Cedar (SB),This stop (#0570) is southbound on the 1398 block of Gilson St nearside Cedar St,43.052054,-89.390943,44,Gilson,1398,Cedar
-89.4103382,43.07503233,6525,573,573,Linden & Henry (EB),This stop (#0573) is eastbound on the 1499 block of Linden Dr nearside Henry Mall,43.07503,-89.410339,"11, 27, 28, 38, 44, 80, 81",Linden,1499,Henry
-89.40591921,43.07205934,6526,581,581,W Johnson & N Charter (EB),This stop (#0581) is eastbound on the 1201 block of Johnson St (w) nearside Charter St (n),43.072057,-89.40592,"1, 2, 3, 7, 8, 10, 12, 14, 15, 19, 29, 37, 48, 56, 57, 58, 70, 71, 72, 82",W Johnson,1201,N Charter
-89.39430128,43.04691834,6527,582,582,S Park & Park House (SB),This stop (#0582) is southbound on the 1800 block of Park St (s) opposite Park House Apts,43.046916,-89.394302,"5, 44",S Park,1800,Park House
-89.40751322,43.06764633,6528,583,583,Regent & S Orchard (EB),This stop (#0583) is eastbound on the 1301 block of Regent St nearside Orchard St (s),43.067644,-89.407514,"6, 7",Regent,1301,S Orchard
-89.3976983,43.03864733,6529,590,590,W Badger & Cypress (WB),This stop (#0590) is westbound on the 900 block of Badger Rd (w) farside Cypress Way,43.038645,-89.397699,"4, 40",W Badger,900,Cypress
-89.3910312,43.07313135,6530,593,593,N Broom & W Dayton (NB),This stop (#0593) is northbound on the 201 block of Broom St (n) farside Dayton St (w),43.073129,-89.391032,"1, 10, 19, 38, 82",N Broom,201,W Dayton
-89.38586919,43.07749836,6531,597,597,E Johnson & N Pinckney (EB),This stop (#0597) is eastbound on the 99 block of Johnson St (e) nearside Pinckney St (n),43.077496,-89.38587,"10, 27, 28, 81",E Johnson,99,N Pinckney
-89.39017626,43.05406135,6532,602,602,W Olin & Gilson (WB),This stop (#0602) is westbound on the 500 block of Olin Ave (w) farside Gilson St,43.054059,-89.390177,13,W Olin,500,Gilson
-89.40067422,43.06776134,6533,608,608,Regent & N Park (WB),This stop (#0608) is westbound on the 898 block of Regent St nearside Park St (n),43.067759,-89.400675,27,Regent,898,N Park
-89.39561926,43.05414334,6534,614,614,W Olin & Lowell (WB),This stop (#0614) is westbound on the 800 block of Olin Ave (w) farside Lowell St,43.054141,-89.39562,"13, 44",W Olin,800,Lowell
-89.37826229,43.04261635,6535,619,619,E Rusk & Rimrock (EB),This stop (#0619) is eastbound on the 399 block of Rusk Ave (e) nearside Rimrock Rd,43.042614,-89.378263,13,E Rusk,399,Rimrock
-89.38193125,43.05632436,6536,621,621,John Nolen & Lakeside (NB),This stop (#0621) is northbound on the 299 block of John Nolen Dr farside Lakeside St (e),43.056322,-89.381932,"11, 12",John Nolen,299,Lakeside
-89.40420522,43.06546133,6537,624,624,S Mills & Mound (SB),This stop (#0624) is southbound on the 198 block of Mills St (s) nearside Mound St,43.065459,-89.404206,"4, 44",S Mills,198,Mound
-89.39998423,43.06332934,6538,633,633,W Washington & S Park (EB),This stop (#0633) is eastbound on the 899 block of W Washington Ave farside Park St (s),43.063327,-89.399985,"5, 47",W Washington,899,S Park
-89.39164928,43.04561034,6539,643,643,Fisher & Bram (NB),This stop (#0643) is northbound on the 1901 block of Fisher St nearside Bram St,43.045608,-89.39165,13,Fisher,1901,Bram
-89.37396528,43.04633036,6540,650,650,John Nolen & Rimrock (SB),This stop (#0650) is southbound on the 701 block of John Nolen Dr farside Rimrock Rd,43.046328,-89.373966,12,John Nolen,701,Rimrock
-89.38550221,43.07100736,6541,668,668,W Doty & S Henry (WB),This stop (#0668) is westbound on the 300 block of Doty St (w) farside Henry St (s),43.071005,-89.385503,"1, 11, 12, 19, 38",W Doty,300,S Henry
-89.3979932,43.07333835,6542,670,670,University & N Lake (WB),This stop (#0670) is westbound on the 700 block of University Ave farside Lake St (n),43.073336,-89.397994,"1, 2, 3, 4, 7, 8, 10, 11, 12, 13, 14, 15, 19, 27, 28, 29, 37, 38, 56, 57, 58, 70, 71, 72",University,700,N Lake
-89.37958926,43.05183836,6543,674,674,E Olin & John Nolen (WB),This stop (#0674) is westbound on the 298 block of Olin Ave (e) farside John Nolen Dr,43.051836,-89.37959,13,E Olin,298,John Nolen
-89.3929682,43.07493135,6544,688,688,State & W Gilman (WB),This stop (#0688) is westbound on the 498 block of State St nearside Gilman St (w),43.074929,-89.392969,"4, 6, 29, 81",State,498,W Gilman
-89.4142762,43.07351933,6545,692,692,University & N Breese (WB),This stop (#0692) is westbound on the 1600 block of University Ave farside Breese Ter (n),43.073517,-89.414277,"2, 10, 19, 37, 48",University,1600,N Breese
-89.39039826,43.05369434,6546,694,694,Gilson & W Olin (SB),This stop (#0694) is southbound on the 1200 block of Gilson St farside Olin Ave (w),43.053692,-89.390399,44,Gilson,1200,W Olin
-89.39379628,43.04401734,6547,703,703,S Park & Burr Oak (NB),This stop (#0703) is northbound on the 2001 block of Park St (s) nearside Burr Oak Ln,43.044015,-89.393797,"5, 44",S Park,2001,Burr Oak
-89.4063512,43.07376934,6548,706,706,N Charter & University (SB),This stop (#0706) is southbound on the 400 block of Charter St (n) nearside University Ave,43.073767,-89.406352,"11, 27, 28, 38, 44, 80",N Charter,400,University
-89.39051421,43.06983635,6549,710,710,S Bassett & W Washington (SB),This stop (#0710) is southbound on the 2 block of Bassett St (s) farside W Washington Ave,43.069834,-89.390515,"1, 10, 19, 38, 82",S Bassett,2,W Washington
-89.40051422,43.06538034,6550,715,715,S Park & Meriter (NB),This stop (#0715) is northbound on the 101 block of Park St (s) opposite Meriter Hospital,43.065378,-89.400515,"13, 47, 48",S Park,101,Meriter
-89.39430228,43.04429534,6551,730,730,S Park & Burr Oak (SB),This stop (#0730) is southbound on the 1998 block of Park St (s) nearside Burr Oak Ln,43.044293,-89.394303,"5, 44",S Park,1998,Burr Oak
-89.40392022,43.06854034,6552,739,739,N Mills & College (NB),This stop (#0739) is northbound on the 17 block of Mills St (n) farside College Ct,43.068538,-89.403921,"4, 44",N Mills,17,College
-89.40427721,43.07204134,6553,741,741,W Johnson & N Mills (EB),This stop (#0741) is eastbound on the 1101 block of Johnson St (w) nearside Mills St (n),43.072039,-89.404278,"1, 2, 3, 7, 8, 10, 11, 12, 14, 15, 19, 27, 28, 29, 37, 38, 44, 48, 56, 57, 58, 70, 71, 72, 82",W Johnson,1101,N Mills
